blockNum,timestamp,TxHash,origin,SENDER,from_token,to_token,quantity_in,quantity_out
13916470,2022-01-01T01:04:02Z,0xc0f602f2db0d628bf60cb81bb65da82afdcba635a6178079273f6dedc08b9363,0xb58555FCBa6479FcED7dE1485eB054943a09af7b,0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,WETH,USDC,284.3791447419278,1054102.834884
13916470,2022-01-01T01:04:02Z,0x48444778dd96deb191d424d80b3b280d58a169e1a5fa27483cd267bbc508dff6,0xfF94930eF7e41d950251048da13E759922248fE4,0xE592427A0AEce92De3Edee1F18E0157C05861564,WETH,USDC,89.47359284181782,330467.764849
13916470,2022-01-01T01:04:02Z,0x9f4640d2b901a854c52195a8d8a5f983f6a7ded8f3b64a4cbb07bf0c1fcc59c1,0xb58555FCBa6479FcED7dE1485eB054943a09af7b,0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,USDC,WETH,1054102.834829,284.57687114614225
13916472,2022-01-01T01:04:38Z,0xdeba5792edfb25e15a7dcbd2426a472f276daeb88284299588f242d5b2a0c1ba,0xA335ADE338308B8e071Cf2c8F3cA5e50F6563C60,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,WETH,USDC,0.3265681905124912,1211.685927
13916473,2022-01-01T01:04:45Z,0x54353b9be29f3f4b6bbf99e5f4ba728b71c6ba88873dea6ab0df6477e7c9fb49,0xAd69f5E87D3da99EA855cb94D01e4b9F2A31dfeB,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,0.75,2782.742733
13916474,2022-01-01T01:04:46Z,0xddd6bb066c54bb9d4e55a14177d79b25f835d15e472d4b72f27d65c95ab5c6cd,0xb691Ce1DEf24A1cB0D7AAFFD6340aea33F886503,0xEef86c2E49E11345F1a693675dF9a38f7d880C8F,USDC,WETH,195123.547399,52.51125830248188
13916479,2022-01-01T01:05:44Z,0xbb09d30218757edf686d766c3b3638c732caef746f1b9b10be185dc6dc09b874,0x1Eaa5811bD0ecE59A998cA7CF8a95c81B865De78,0x1111111254fb6c44bAC0beD2854e76F90643097d,USDC,WETH,413048.075393,110.99006178562064
13916479,2022-01-01T01:05:44Z,0x22e682673f82983586e999e2ac923f46d1dd639097d956b36643f9377bc2dabf,0x876db660De545a14aa14bb6069e5b369Cc233241,0x92498F5a2878A2D7d6F29cCDBA5b52273b29a2D9,WETH,USDC,20.41445452082169,75959.217241
13916479,2022-01-01T01:05:44Z,0xa322ca5e3d1d85cca297844c5a3cdc556d9a80893fb4d625e913794205ea0ddb,0x00006196242a1D328fe4B636995e796cb6c7a2Ac,0x0000008CF69d25162321FEd9f6789f2A5caDE6bC,WETH,USDC,40.3841,150179.878362
13916481,2022-01-01T01:05:57Z,0x46ba64cfc7f469fa569fa9c1b9dbb267ee4d267e824f4fb897dc951b8f338389,0x408e92fc105698A76d05c67787A5D5D4CAc19869,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,USDC,WETH,121680.349046,32.690019924725085
13916481,2022-01-01T01:05:57Z,0x5807314206039e54b1aa4c4aa3ffcbc6f5d39d9aafbbd5f7956bfc8d5f48a01b,0x3245A808525D872EE8157c8E068223EB8537423A,0x27239549DD40E1D60F5B80B0C4196923745B1FD2,WETH,USDC,8.87,32990.514541
13916483,2022-01-01T01:06:40Z,0x239277bb35b14bddfd3de026f44cd8cae0ac2b7bd2c7e5015c4c04db2aaa9f11,0xd9D75D9e4d6d5795e24f952b0DdD5980f539765e,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,2.334491325094911,8681.869528
13916483,2022-01-01T01:06:40Z,0xf6767f5651908d23a9acf5b8ebc0c7e00fb40050773eb39e3141f7a1b6cdfb69,0xD0c59b17f2070E1c9B4BD3fBe0393D0E878c2a5B,0xE592427A0AEce92De3Edee1F18E0157C05861564,USDC,WETH,2036.115648,0.5469582062431082
13916483,2022-01-01T01:06:40Z,0x4bdd91eb7c9b31b8d2fdf1fc2487ac671f84d5bd6f370a5d1d3c337cbd89a964,0xFC4102a9C55dAFB46dEFD9c9AeFc38beaA273a1d,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,0.03,111.567372
13916485,2022-01-01T01:06:48Z,0x4b60cde1d6cff3b346ede8ccef7c327f6b93d925cf1df828a76c98245f1be210,0x439F9eBAb82692ef8fed76b6b139A8161795514C,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,25.0,92951.544669
13916491,2022-01-01T01:07:45Z,0x09a13c73f2a050b23df86fdd38409b24dc522ec55a81a1e84563f21a65cb02a6,0xe67B18B27db897Ff71994A6Ad3890626620e580A,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,0.8,2973.748167
13916495,2022-01-01T01:08:54Z,0x16ba9efd0302300ca35a68aa6ed2c0bb28cbb07209ce1bb30f70107453199fc5,0xEc11a964019a169d9505B7FFA0B8254643B1a36A,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,USDC,WETH,335.494235,0.09016526720917657
13916496,2022-01-01T01:09:05Z,0x75a34467b2d49225554304d999304b17ddc50a69f771cd7f0fedf0eb3c222c2c,0xA4Ec0b861da15e2AD3496fbd8DBE2Bb8d569B760,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,0.1121133672065445,416.743363
